time_hours,EF_NUV,n_O3_cm3,n_CH4_cm3,n_OH_cm3,vmr_O3,vmr_CH4,vmr_OH,dO3_frac,dCH4_frac,dOH_frac
-2.0,1.0,88172820000.0,529036920000.0,293909.39999999997,3e-07,1.8e-06,1e-12,0.0,0.0,0.0
-1.9869934967483742,1.0,88172771970.40858,529036905282.37366,293909.40277426655,2.999998365836839e-07,1.799999949924615e-06,1.0000000094391896e-12,-5.447210536694332e-07,-2.781965830054628e-08,9.439189710538965e-09
-1.9739869934967484,1.0,88172723941.7105,529036890564.7477,293909.4055484824,2.9999967317040727e-07,1.7999998998492313e-06,1.0000000188782065e-12,-1.089431975806205e-06,-5.5639315908870664e-08,1.8878206724728932e-08
-1.9609804902451227,1.0,88172675913.90572,529036875847.12195,293909.4083226475,2.9999950976017004e-07,1.7999998497738486e-06,1.0000000283170512e-12,-1.6341327665833713e-06,-8.345897305571379e-08,2.831705124061617e-08
-1.9479739869934967,1.0,88172627886.99425,529036861129.49646,293909.4110967619,2.999993463529722e-07,1.7999997996984665e-06,1.000000037755723e-12,-2.1788234260009316e-06,-1.1127862974107565e-07,3.775572306015441e-08
-1.9349674837418709,1.0,88172579860.97607,529036846411.8712,293909.41387082543,2.9999918294881373e-07,1.7999997496230852e-06,1.000000047194222e-12,-2.7235039542319418e-06,-1.3909828596495626e-07,4.719422198529738e-08
-1.921960980490245,1.0,88172531835.85117,529036831694.24634,293909.4166448383,2.999990195476945e-07,1.7999996995477053e-06,1.0000000566325482e-12,-3.2681743516225126e-06,-1.6691794149661498e-07,5.663254841213762e-08
-1.9089544772386193,1.0,88172483811.6195,529036816976.62164,293909.4194188004,2.999988561496145e-07,1.799999649472326e-06,1.000000066070702e-12,-3.8128346183456997e-06,-1.9473759668216275e-07,6.607070214262886e-08
-1.8959479739869936,1.0,88172435788.28108,529036802258.99725,293909.42219271173,2.9999869275457364e-07,1.7999995993969476e-06,1.000000075508683e-12,-4.357484754574558e-06,-2.2255725129085892e-07,7.55086831767711e-08
-1.8829414707353676,1.0,88172387765.83589,529036787541.37317,293909.42496657226,2.999985293625719e-07,1.7999995493215704e-06,1.0000000849464913e-12,-4.902124760309088e-06,-2.5037690532270356e-07,8.494649131651807e-08
-1.8699349674837418,1.0,88172339744.28389,529036772823.74927,293909.42774038215,2.999983659736092e-07,1.7999994992461938e-06,1.000000094384127e-12,-5.446754636068456e-06,-2.781965590084372e-07,9.43841271560086e-08
