atmosphere,atm_name,scenario,feature,lam_lo_um,lam_hi_um,continuum_ppm,peak_ppm,amplitude_ppm
A,N₂-dominated (Earth-like),quiescent,H2O_1.4,1.35,1.45,5060.204693178691,5088.819560623148,28.61486744445756
A,N₂-dominated (Earth-like),postflare_cumul,H2O_1.4,1.35,1.45,5060.204693541936,5088.819561021374,28.614867479438544
A,N₂-dominated (Earth-like),vulcan_single,H2O_1.4,1.35,1.45,5060.204693559793,5088.819561146944,28.61486758715091
A,N₂-dominated (Earth-like),quiescent,H2O_1.9,1.8,1.95,5073.999327767591,5103.701733607687,29.702405840095707
A,N₂-dominated (Earth-like),postflare_cumul,H2O_1.9,1.8,1.95,5073.999325946964,5103.701734192307,29.702408245343577
A,N₂-dominated (Earth-like),vulcan_single,H2O_1.9,1.8,1.95,5073.999328060923,5103.701734217847,29.702406156923644
A,N₂-dominated (Earth-like),quiescent,CH4_2.3,2.15,2.45,5060.37410452047,5084.594352087768,24.22024756729843
A,N₂-dominated (Earth-like),postflare_cumul,CH4_2.3,2.15,2.45,5060.373781222767,5084.594186312821,24.220405090053646
A,N₂-dominated (Earth-like),vulcan_single,CH4_2.3,2.15,2.45,5060.374081876064,5084.594340766499,24.220258890434707
A,N₂-dominated (Earth-like),quiescent,CH4_3.3,3.1,3.55,5085.6983761124475,5119.095905299837,33.39752918738941
A,N₂-dominated (Earth-like),postflare_cumul,CH4_3.3,3.1,3.55,5085.696817078314,5119.0942419301355,33.3974248518216
A,N₂-dominated (Earth-like),vulcan_single,CH4_3.3,3.1,3.55,5085.6982102582315,5119.095776575648,33.39756631741693
A,N₂-dominated (Earth-like),quiescent,CO2_4.3,4.1,4.5,5136.227519842081,5171.393757800911,35.1662379588297
A,N₂-dominated (Earth-like),postflare_cumul,CO2_4.3,4.1,4.5,5136.227522075416,5171.393758853072,35.166236777655286
A,N₂-dominated (Earth-like),vulcan_single,CO2_4.3,4.1,4.5,5136.2275206047325,5171.393758769336,35.16623816460378
A,N₂-dominated (Earth-like),quiescent,N2O_4.5,4.4,4.65,5144.75649113556,5165.730171625785,20.97368049022498
A,N₂-dominated (Earth-like),postflare_cumul,N2O_4.5,4.4,4.65,5144.7564940092825,5165.730173156057,20.973679146774884
A,N₂-dominated (Earth-like),vulcan_single,N2O_4.5,4.4,4.65,5144.7564919629895,5165.730172564154,20.973680601164233
A,N₂-dominated (Earth-like),quiescent,CO_4.67,4.55,4.8,5119.675688503098,5146.525030553921,26.849342050822997
A,N₂-dominated (Earth-like),postflare_cumul,CO_4.67,4.55,4.8,5119.6756904867325,5146.525033507298,26.849343020565357
A,N₂-dominated (Earth-like),vulcan_single,CO_4.67,4.55,4.8,5119.675689197963,5146.525031390468,26.84934219250499
A,N₂-dominated (Earth-like),quiescent,O3_9.6,9.0,10.2,5137.3604409978925,5150.046822490529,12.686381492636428
A,N₂-dominated (Earth-like),postflare_cumul,O3_9.6,9.0,10.2,5137.3571261396155,5150.045072058567,12.6879459189513
A,N₂-dominated (Earth-like),vulcan_single,O3_9.6,9.0,10.2,5137.359573193369,5150.046363255477,12.68679006210823
A,N₂-dominated (Earth-like),quiescent,H2O_6.3,5.8,6.8,5150.640921021812,5181.205955385153,30.56503436334151
A,N₂-dominated (Earth-like),postflare_cumul,H2O_6.3,5.8,6.8,5150.6408980947745,5181.20595629275,30.565058197975304
A,N₂-dominated (Earth-like),vulcan_single,H2O_6.3,5.8,6.8,5150.640919275756,5181.205956399632,30.56503712387621
B,CO₂-dominated (Venus-analog),quiescent,H2O_1.4,1.35,1.45,5017.764189848106,5005.297806821103,-12.466383027002848
B,CO₂-dominated (Venus-analog),postflare_cumul,H2O_1.4,1.35,1.45,5017.764199835393,5005.297813341745,-12.466386493648315
B,CO₂-dominated (Venus-analog),quiescent,H2O_1.9,1.8,1.95,5056.445266294091,5136.609804014427,80.16453772033583
B,CO₂-dominated (Venus-analog),postflare_cumul,H2O_1.9,1.8,1.95,5056.445291126906,5136.60986027775,80.16456915084382
B,CO₂-dominated (Venus-analog),quiescent,CH4_2.3,2.15,2.45,5152.224713499899,5157.4114239200735,5.186710420174677
B,CO₂-dominated (Venus-analog),postflare_cumul,CH4_2.3,2.15,2.45,5152.224775923092,5157.411501196061,5.186725272968943
B,CO₂-dominated (Venus-analog),quiescent,CH4_3.3,3.1,3.55,5161.6777255478,5114.552325714465,-47.125399833334995
B,CO₂-dominated (Venus-analog),postflare_cumul,CH4_3.3,3.1,3.55,5161.677791839374,5114.552376595417,-47.12541524395692
B,CO₂-dominated (Venus-analog),quiescent,CO2_4.3,4.1,4.5,5278.6443336827715,5311.891362042747,33.24702835997505
B,CO₂-dominated (Venus-analog),postflare_cumul,CO2_4.3,4.1,4.5,5278.644445635093,5311.891485671012,33.24704003591887
B,CO₂-dominated (Venus-analog),quiescent,N2O_4.5,4.4,4.65,5286.371812730655,5306.545914297318,20.174101566663012
B,CO₂-dominated (Venus-analog),postflare_cumul,N2O_4.5,4.4,4.65,5286.371930508596,5306.546035888619,20.17410538002332
B,CO₂-dominated (Venus-analog),quiescent,CO_4.67,4.55,4.8,5249.36211335082,5288.4085894507825,39.04647609996209
